S.NO.,CEMENT,WATER,COURSE AGGREGATE,W/C RATIO,AGE,COMPRESSIVE STRENGTH,FLEXURAL STRENGTH,SPLIT TENSILE STRENGTH
1,500,200,1738,0.4,1,12.64,0.917045272,0.612082504
2,385,186,1729,0.483116883,1,6.27,0.471074688,0.312375068
3,640,201,1524.9,0.3140625,3,29.55,2.095880546,1.370964601
4,468.8,126.6,1868.1,0.270051195,3,29,2.285298291,1.523180368
5,575.5,175.5,1667.3,0.304952215,3,28.8,2.239838184,1.45646269
6,530.7,153.9,1755.2,0.289994347,3,28.6,2.190618239,1.450037853
7,606.5,183.8,1612.9,0.303050289,3,28.3,1.98905301,1.308808844
8,485.7,157.9,1789.9,0.325097797,3,28.1,2.068721593,1.359030608
9,396.6,140.8,1880.3,0.35501765,3,27.42,1.968647906,1.29609463
10,500,200,1738,0.4,3,26.06,1.892572291,1.241538457
11,640,210,1584.9,0.328125,3,25.61,1.953666169,1.304408646
12,501,157,1796.9,0.313373253,3,25.51,1.86188882,1.242841067
13,531.3,155.7,1746.8,0.293054771,3,25.2,1.905060451,1.263724173
14,519,154,1753.9,0.29672447,3,25.12,1.790212377,1.190381582
15,549,162,1690.6,0.295081967,3,25.02,1.942472443,1.286979684
16,487.2,144.7,1819.5,0.297003284,3,24.4,1.849708604,1.236647391
17,480,192,1648.4,0.4,3,24.4,1.787411437,1.172833696
18,480,192,1657,0.4,3,24.39,1.810582592,1.179946934
19,526.9,174.9,1710,0.331941545,3,24.1,1.723657042,1.150501691
20,396.5,159.5,1841,0.402269861,3,23.8,1.82878869,1.198439639
21,519,154,1753.9,0.29672447,3,23.64,1.874885177,1.235056671
22,371.9,143.3,1899.7,0.385318634,3,23.52,1.740909548,1.166360111
23,549,162,1690.6,0.295081967,3,23.35,1.781822108,1.18375731
24,374.5,160.6,1861.3,0.428838451,3,23.14,1.821404442,1.204515763
25,397.1,164.8,1806.2,0.415008814,3,23.08,1.620373656,1.078718433
26,391.3,171.5,1823.2,0.438282648,3,22.95,1.64554798,1.100892102
27,501,157,1797.3,0.313373253,3,22.75,1.811858418,1.195062659
28,386.6,168.1,1835.6,0.434816348,3,22.5,1.676708153,1.117743064
29,414.7,174.8,1785.8,0.421509525,3,21.91,1.724909512,1.152590602
30,351.1,146.3,1891,0.416690402,3,21.78,1.634853011,1.075540663
31,358.4,156.8,1866.8,0.4375,3,21.29,1.652466298,1.086184484
32,351.7,146.1,1918.2,0.415410862,3,21.02,1.612895332,1.05179927
33,426.4,179.9,1757.7,0.421904315,3,20.73,1.541586418,1.015824598
34,332.2,186.7,1803.9,0.562010837,3,19.93,1.562397979,1.035554029
35,336.8,159,1892.7,0.472090261,3,19.52,1.389002242,0.903304035
36,425.6,175.1,1760.5,0.411419173,3,19.42,1.427628699,0.936688471
37,393,192,1726.2,0.488549618,3,19.2,1.443500275,0.962122944
38,393,192,1698,0.488549618,3,19.11,1.515571841,1.001800838
39,390.6,155.6,1804.5,0.398361495,3,18.02,1.433862558,0.946481258
40,336.3,181.7,1858.1,0.540291406,3,18,1.289826872,0.854009142
41,388.4,154.8,1840.1,0.398558187,3,17.57,1.320285123,0.86464662
42,387.7,154.6,1839.5,0.398761929,3,17.37,1.277285899,0.853805252
43,369.7,188.5,1791.9,0.50987287,3,17.22,1.304802551,0.873264394
44,376,214.6,1765.9,0.570744681,3,16.28,1.195134285,0.78419981
45,480,192,1649.8,0.4,3,16.11,1.259183935,0.83198113
46,349,192,1865,0.550143266,3,15.87,1.236030037,0.815133809
47,427.1,172.3,1763.5,0.403418403,3,15.82,1.163301344,0.767182938
48,333,192,1773.8,0.576576577,3,15.62,1.15171696,0.759158575
49,387.7,159.2,1827.2,0.410626773,3,15.61,1.150221485,0.766660114
50,409.4,164,1785.3,0.400586224,3,15.52,1.086948015,0.726148181
51,353.4,174,1841.6,0.492359932,3,15.44,1.130623681,0.756882518
52,347.9,158.1,1889.6,0.454440931,3,15.36,1.159708035,0.774025608
53,343,158.5,1884.9,0.462099125,3,15.34,1.156890891,0.76634832
54,349,192,1853.9,0.550143266,3,15.05,1.086767739,0.724048226
55,316.1,162.1,1901.8,0.512812401,3,15.04,1.157785606,0.761657819
56,349,192,1853,0.550143266,3,14.99,1.161940732,0.777530665
57,425.9,175.5,1760.7,0.412068561,3,14.94,1.106410316,0.729559576
58,385,186,1729,0.483116883,3,14.7,1.082654592,0.704266773
